description,keywords,name,no_of_reviews,price,published_date,ratings,url,max_no_weeks_on_list,price_numeric,ratings_numeric,class_text,polarity_score
"A female, funny Henry James in Asia, Janice Y. K. Lee is vividly good on the subject of Americans abroad","['hong', 'kong', 'women', 'expat', 'lee', 'lives', 'living', 'expats', 'ending', 'american', 'margaret', 'expatriate', 'community', 'mercy', 'janice', 'motherhood', 'woman', 'lived', 'child', 'hilary']",THE EXPATRIATES,346,"['Hardcover', '$9.89', '92', 'Used', 'from', '$1.99', '38', 'New', 'from', '$2.80', '7', 'Collectible', 'from', '$3.02', 'Paperback', '$10.03', '131', 'Used', 'from', '$1.45', '65', 'New', 'from', '$1.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-01-31,3.9 out of 5 s,http://www.amazon.com/The-Expatriates-Janice-Y-Lee/dp/0525429476?tag=NYTBS-20,0,9.89,3.9,pos,0.1958333333
A sequel to “Shadows of Self”  a Mistborn novel.,"['sanderson', 'brandon', 'wax', 'wayne', 'trilogy', 'fantasy', 'cosmere', 'development', 'steris', 'twists', 'previous', 'fantastic', 'action', 'magic', 'self', 'ending', 'law', 'shadows', 'continues', 'novels']",THE BANDS OF MOURNING,727,"['Hardcover', '$15.37', '66', 'Used', 'from', '$7.88', '57', 'New', 'from', '$9.95', '7', 'Collectible', 'from', '$13.00', 'Paperback', '$9.27', '19', 'Used', 'from', '$6.82', '25', 'New', 'from', '$8.78', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-02-14,4.7 out of 5 s,http://www.amazon.com/The-Bands-Mourning-Mistborn-Novel-ebook/dp/B00R697BC8?tag=NYTBS-20,2,15.37,4.7,,0
"Detective Zach Jordan and his partner, members of an elite task force that protects the rich and famous, pursue a cold-blooded killer.","['patterson', 'james', 'action', 'page', 'kept', 'suspense', 'exciting', 'karp', 'twists', 'kylie', 'murder', 'paced', 'turner', 'interest', 'predictable', 'cross', 'police', 'usual', 'zach', 'mystery']",NYPD RED 4,4131,"['Hardcover', '$14.43', '174', 'Used', 'from', '$1.02', '58', 'New', 'from', '$5.13', '17', 'Collectible', 'from', '$5.00', 'Paperback', '$10.72', '168', 'Used', 'from', '$1.27', '52', 'New', 'from', '$4.84', '1', 'Collectible', 'from', '$4.51', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.4 out of 5,http://www.amazon.com/NYPD-Red-4-James-Patterson/dp/0316407062?tag=NYTBS-20,6,14.43,4.4,pos,0.4375
A woman whose life has been shattered befriends a homeless boy.,"['danielle', 'steel', 'steele', 'ending', 'heart', 'boy', 'kept', 'predictable', 'church', 'homeless', 'heartwarming', 'novels', 'ginny', 'interest', 'catholic', 'enjoyable', 'young', 'lives', 'fantastic', 'usual']",BLUE,1944,"['Hardcover', '$11.98', '154', 'Used', 'from', '$1.00', '30', 'New', 'from', '$6.09', '4', 'Collectible', 'from', '$7.00', 'Paperback', '$18.45', '61', 'Used', 'from', '$4.24', '41', 'New', 'from', '$15.36', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$8.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.7 out of 5,http://www.amazon.com/Blue-A-Novel-Danielle-Steel/dp/0345531051?tag=NYTBS-20,6,11.98,4.7,,0
"A novel based on the friendship between Truman Capote and Babe Paley and her coterie, which began in the 1950s and ended 20 years later in scandal.","['capote', 'truman', 'babe', 'society', 'paley', 'lives', 'york', 'women', 'benjamin', 'fiction', 'rich', 'fascinating', 'melanie', 'era', 'famous', 'sad', 'historical', 'cold', 'blood', 'knew']",THE SWANS OF FIFTH AVENUE,1238,"['Hardcover', '$12.38', '116', 'Used', 'from', '$0.10', '34', 'New', 'from', '$4.27', '15', 'Collectible', 'from', '$7.50', 'Paperback', '$9.72', '185', 'Used', 'from', '$1.20', '90', 'New', 'from', '$4.66', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.0 out of 5,http://www.amazon.com/The-Swans-Fifth-Avenue-Novel-ebook/dp/B00X2F109A?tag=NYTBS-20,6,12.38,4,,0
"Forces are gathering against Uhtred, the greatest warrior of the kingdoms of Wessex, Mercia and East Anglia.","['cornwell', 'uhtred', 'bernard', 'historical', 'england', 'fiction', 'battle', 'uthred', 'tale', 'bebbanburg', 'saga', 'installment', 'action', 'battles', 'novels', 'continues', 'kingdom', 'previous', 'warrior', 'lord']",WARRIORS OF THE STORM,969,"['Hardcover', '$16.83', '54', 'Used', 'from', '$4.91', '33', 'New', 'from', '$8.70', '1', 'Collectible', 'from', '$16.50', 'Paperback', '$10.87', '43', 'Used', 'from', '$4.04', '29', 'New', 'from', '$9.29', '1', 'Collectible', 'from', '$8.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-02-14,4.7 out of 5 s,http://www.amazon.com/Warriors-Storm-Novel-Saxon-Tales-ebook/dp/B00WQZG3O4?tag=NYTBS-20,2,16.83,4.7,pos,1
"When his vampire nemesis heads to Rome, a Druid follows.","['hearne', 'atticus', 'kevin', 'owen', 'granuaile', 'druids', 'oberon', 'previous', 'action', 'vampires', 'humor', 'main', 'war', 'enjoyable', 'fantasy', 'installment', 'addition', 'chapters', 'ends', 'chapter']",STAKED,656,"['Hardcover', '$13.91', '35', 'Used', 'from', '$2.38', '17', 'New', 'from', '$9.94', '1', 'Collectible', 'from', '$50.00', 'Paperback', '$14.57', '12', 'Used', 'from', '$12.40', '18', 'New', 'from', '$10.57', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-02-14,4.4 out of 5 s,http://www.amazon.com/Staked-Iron-Druid-Chronicles-Eight-ebook/dp/B00VOYGYNS?tag=NYTBS-20,1,13.91,4.4,,0
"Lt. Eve Dallas of the N.Y.P.D. helps a friend and her husband solve a mystery involving politics and real estate; by Nora Roberts, writing pseudonymously.","['robb', 'eve', 'dallas', 'roarke', 'mira', 'nora', 'roberts', 'dennis', 'mystery', 'usual', 'peabody', 'murder', 'beginning', 'victims', 'relationship', 'kept', 'cop', 'crime', 'rourke', 'coming']",BROTHERHOOD IN DEATH,2778,"['Hardcover', '$11.49', '125', 'Used', 'from', '$0.25', '36', 'New', 'from', '$4.08', '9', 'Collectible', 'from', '$7.95', 'Paperback', '$14.99', '49', 'Used', 'from', '$10.07', '34', 'New', 'from', '$10.77', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$7.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.8 out of 5,http://www.amazon.com/Brotherhood-Death-J-D-Robb/dp/0399170898?tag=NYTBS-20,4,11.49,4.8,pos,0.2
The psychologist Alex Delaware and the L.A.P.D. Lt. Milo Sturgis search for the missing son of a troubled actress.,"['kellerman', 'jonathan', 'milo', 'mystery', 'novels', 'sturgis', 'ending', 'usual', 'twists', 'child', 'slow', 'mental', 'turns', 'actress', 'zelda', 'psychological', 'missing', 'psychologist', 'ovid', 'dead']",BREAKDOWN,1075,"['Hardcover', '$8.88', '158', 'Used', 'from', '$1.02', '28', 'New', 'from', '$7.28', '5', 'Collectible', 'from', '$12.99', 'Paperback', '$8.99', '235', 'Used', 'from', '$0.25', '60', 'New', 'from', '$3.79', '2', 'Collectible', 'from', '$5.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.2 out of 5,http://www.amazon.com/Breakdown-An-Alex-Delaware-Novel/dp/0345541405?tag=NYTBS-20,0,8.88,4.2,neg,-0.35
"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.","['sequel', 'louisa', 'moyes', 'jojo', 'lou', 'follow', 'ending', 'grief', 'happened', 'lily', 'death', 'sam', 'loss', 'move', 'clark', 'third', 'enjoyable', 'sad', 'moving', 'heart']",AFTER YOU,5165,"['Hardcover', '$14.89', '237', 'Used', 'from', '$1.01', '83', 'New', 'from', '$4.98', '5', 'Collectible', 'from', '$5.50', 'Paperback', '$12.80', '202', 'Used', 'from', '$1.26', '63', 'New', 'from', '$6.10', '2', 'Collectible', 'from', '$10.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.2 out of 5,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,17,14.89,4.2,neg,-0.05
Cordelia Naismith Vorkosigan returns to the planet that changed her destiny.,"['bujold', 'cordelia', 'miles', 'aral', 'action', 'lois', 'romance', 'relationship', 'universe', 'earlier', 'mcmaster', 'space', 'novels', 'death', 'disappointing', 'honor', 'adventure', 'future', 'fans', 'sergyar']",GENTLEMAN JOLE AND THE RED QUEEN,730,"['Hardcover', '$13.17', '87', 'Used', 'from', '$1.52', '49', 'New', 'from', '$13.17', 'Paperback', '$12.62', '29', 'Used', 'from', '$3.48', '22', 'New', 'from', '$5.35', '1', 'Collectible', 'from', '$16.01', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$4.87', 'Read', 'with', 'Our', 'Free', 'App']",2016-02-21,3.7 out of 5 s,http://www.amazon.com/Gentleman-Jole-Queen-Vorkosigan-Saga/dp/1476781222?tag=NYTBS-20,0,13.17,3.7,,0
"In Book 3 of the Red Rising trilogy, set in a dystopian future, Darrow incites a rebellion.","['trilogy', 'brown', 'ending', 'pierce', 'twists', 'darrow', 'conclusion', 'action', 'fantastic', 'finish', 'golden', 'turns', 'third', 'epic', 'final', 'sci-fi', 'fiction', 'satisfying', 'future', 'hunger']",MORNING STAR,2410,"['Hardcover', '$15.32', '92', 'Used', 'from', '$2.90', '72', 'New', 'from', '$8.58', '4', 'Collectible', 'from', '$14.95', 'Paperback', '$10.87', '40', 'Used', 'from', '$2.89', '39', 'New', 'from', '$6.04', '2', 'Collectible', 'from', '$29.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.8 out of 5,http://www.amazon.com/Morning-Star-Book-Rising-Trilogy-ebook/dp/B00SPVPX2G?tag=NYTBS-20,2,15.32,4.8,,0
The Boston detective D. D. Warren hunts for a missing woman who was kidnapped and abused as a college student and may have become a vigilante.,"['gardner', 'lisa', 'flora', 'page', 'kept', 'victim', 'suspense', 'twists', 'thriller', 'kidnapped', 'suspenseful', 'mystery', 'turns', 'edge', 'dane', 'guessing', 'dark', 'turner', 'held', 'seat']",FIND HER,1692,"['Hardcover', '$9.99', '139', 'Used', 'from', '$0.25', '52', 'New', 'from', '$2.52', '7', 'Collectible', 'from', '$9.99', 'Paperback', '$8.49', '177', 'Used', 'from', '$1.00', '57', 'New', 'from', '$6.77', '2', 'Collectible', 'from', '$15.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.5 out of 5,http://www.amazon.com/Find-Her-Lisa-Gardner/dp/0525954570?tag=NYTBS-20,6,9.99,4.5,neg,-0.2
"In the 10th thriller featuring the former C.I.A. agent John Wells, Wells sets out to kill the American billionaire who tried to trick the United States into invading Iran (in “Twelve Days”), but the Russians and Chinese become involved.","['berenson', 'alex', 'action', 'previous', 'iran', 'war', 'twelve', 'thriller', 'novels', 'kong', 'president', 'duberman', 'hong', 'cia', 'spy', 'billionaire', 'exciting', 'agent', 'israel', 'aaron']",THE WOLVES,377,"['Hardcover', '$10.99', '105', 'Used', 'from', '$1.02', '30', 'New', 'from', '$3.27', '4', 'Collectible', 'from', '$8.00', 'Paperback', '$8.34', '86', 'Used', 'from', '$1.02', '71', 'New', 'from', '$4.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-02-28,4.3 out of 5 s,http://www.amazon.com/The-Wolves-John-Wells-Novel/dp/0399176144?tag=NYTBS-20,1,10.99,4.3,,0
The sixth and penultimate book of the Clifton Chronicles brings the Cliftons and the Barringtons into the 1970s.,"['archer', 'jeffrey', 'final', 'november', 'previous', 'saga', 'installment', 'page', 'twists', 'turns', 'ending', 'jeffery', 'novels', 'waiting', 'harry', 'chapter', 'cliftons', 'chronicle', 'predictable', 'writer']",COMETH THE HOUR,1962,"['Hardcover', '$37.99', '23', 'Used', 'from', '$13.99', '13', 'New', 'from', '$32.12', 'Paperback', '$10.87', '35', 'Used', 'from', '$1.64', '20', 'New', 'from', '$6.86', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$2.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.5 out of 5,http://www.amazon.com/Cometh-Hour-Novel-Clifton-Chronicles-ebook/dp/B00YWZU0MC?tag=NYTBS-20,4,37.99,4.5,,0
"When a suspect in a missing-child case dies, reporters and the police think they’ll get the real story from his widow. They’re wrong.","['girl', 'gone', 'jean', 'kept', 'ending', 'thriller', 'child', 'barton', 'mystery', 'train', 'detective', 'reporter', 'glen', 'page', 'suspense', 'told', 'fiona', 'twists', 'psychological', 'happened']",THE WIDOW,1504,"['Hardcover', '$13.93', '150', 'Used', 'from', '$0.25', '72', 'New', 'from', '$4.96', '11', 'Collectible', 'from', '$8.00', 'Paperback', '$9.99', '123', 'Used', 'from', '$1.02', '43', 'New', 'from', '$2.99', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,3.8 out of 5,http://www.amazon.com/The-Widow-Fiona-Barton-ebook/dp/B00Z8VT8AE?tag=NYTBS-20,6,13.93,3.8,neg,-0.15
A fugitive Norwegian hitman attempts to find himself in the Arctic wilderness.,"['nesbo', 'harry', 'hole', 'novels', 'norway', 'fisherman', 'ulf', 'ending', 'blood', 'snow', 'jon', 'writer', 'sami', 'oslo', 'kept', 'main', 'usual', 'twists', 'thriller', 'crime']",MIDNIGHT SUN,389,"['Hardcover', '$12.99', '69', 'Used', 'from', '$0.99', '22', 'New', 'from', '$7.84', '10', 'Collectible', 'from', '$6.95', 'Paperback', '$7.64', '119', 'Used', 'from', '$1.40', '69', 'New', 'from', '$2.17', '1', 'Collectible', 'from', '$4.95', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$10.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,3.6 out of 5 s,http://www.amazon.com/Midnight-Sun-novel-Jo-Nesbo/dp/0385354207?tag=NYTBS-20,0,12.99,3.6,,0
" the author explores the nature of genius, rivalry, ambition, and love among multiple generations of a gifted family.","['genius', 'canin', 'mathematics', 'math', 'milo', 'ethan', 'mathematical', 'andret', 'mathematician', 'brilliant', 'father', 'hans', 'addiction', 'told', 'pages', 'mathematicians', 'nature', 'princeton', 'woods', 'college']",A DOUBTER'S ALMANAC,227,"['Hardcover', '$12.15', '97', 'Used', 'from', '$1.06', '36', 'New', 'from', '$4.25', '11', 'Collectible', 'from', '$10.99', 'Paperback', '$12.23', '104', 'Used', 'from', '$0.45', '51', 'New', 'from', '$6.06', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$11.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-06,4.0 out of 5 s,http://www.amazon.com/A-Doubters-Almanac-Novel/dp/1400068266?tag=NYTBS-20,0,12.15,4,pos,0.3333333333
A mother and her daughter-in-law both leave unhappy marriages and take up with new men.,"['debbie', 'macomber', 'women', 'leanne', 'nichole', 'divorce', 'lives', 'move', 'rocco', 'husbands', 'cheating', 'marriage', 'honest', 'romance', 'men', 'nikolai', 'mother-in-law', 'jake', 'woman', 'mother']",A GIRL'S GUIDE TO MOVING ON,977,"['Hardcover', '$2.45', '133', 'Used', 'from', '$1.05', '27', 'New', 'from', '$2.45', '9', 'Collectible', 'from', '$3.49', 'Paperback', '$26.00', '33', 'Used', 'from', '$2.68', '16', 'New', 'from', '$16.89', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$5.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-13,4.6 out of 5 s,http://www.amazon.com/Girls-Guide-Moving-On-Novel-ebook/dp/B00ZNE17B4?tag=NYTBS-20,4,2.45,4.6,neg,-0.2318181818
"The Lake Eden, Minn., baker Hannah Swensen is about to get married, but first she must solve the murder of a visiting celebrity chef. Recipes included.","['recipes', 'ross', 'fluke', 'norman', 'mike', 'married', 'joanne', 'mystery', 'swenson', 'marry', 'food', 'competition', 'mysteries', 'contest', 'cozy', 'channel', 'killer', 'cookie', 'michelle', 'baking']",WEDDING CAKE MURDER,735,"['Hardcover', '$14.98', '65', 'Used', 'from', '$1.65', '29', 'New', 'from', '$9.30', '2', 'Collectible', 'from', '$18.98', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$3.99', 'Read', 'with', 'Our', 'Free', 'App', 'Mass', 'Market', 'Paperback', '$7.19', '65', 'Used', '$1.99', '58', 'New', '$5.57']",2016-03-13,4.0 out of 5 s,http://www.amazon.com/Wedding-Cake-Murder-Hannah-Swensen-ebook/dp/B00Y6RB46W?tag=NYTBS-20,1,14.98,4,pos,0.25
A magicians’ competition is about to be held in one of the linked alternative realities of London in this fantasy.,"['lila', 'kell', 'schwab', 'third', 'darker', 'shade', 'rhy', 'london', 'cliffhanger', 'alucard', 'ending', 'sequel', 'fantasy', 'magical', 'red', 'tournament', 'games', 'action', 'main', 'development']",A GATHERING OF SHADOWS,422,"['Hardcover', '$15.65', '35', 'Used', 'from', '$4.45', '34', 'New', 'from', '$15.65', '1', 'Collectible', 'from', '$100.00', 'Paperback', '$10.87', '29', 'Used', 'from', '$5.87', '43', 'New', 'from', '$10.38', '1', 'Collectible', 'from', '$55.00', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-13,4.5 out of 5 s,http://www.amazon.com/A-Gathering-Shadows-Novel/dp/0765376474?tag=NYTBS-20,1,15.65,4.5,,0
"n the ninth book in this series, set in 1906, the New York detective Isaac Bell contends with a crime boss passing as a respectable businessman and a tycoon’s plot against President Theodore Roosevelt.","['cussler', 'clive', 'action', 'issac', 'historical', 'detective', 'early', 'period', 'novels', 'paced', 'york', 'van', 'page', 'usual', 'fiction', 'dorn', 'interest', 'scott', 'exciting', 'president']",THE GANGSTER,947,"['Hardcover', '$11.00', '129', 'Used', 'from', '$1.02', '37', 'New', 'from', '$0.49', '14', 'Collectible', 'from', '$5.95', 'Paperback', '$8.99', '167', 'Used', 'from', '$1.15', '69', 'New', 'from', '$4.87', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-20,4.3 out of 5 s,http://www.amazon.com/The-Gangster-Isaac-Bell-Adventure/dp/0399175954?tag=NYTBS-20,4,11,4.3,pos,0.3181818182
"A collection of the stories that spans the career of the Irish writer, who died in 2012.","['maeve', 'binchy', 'collection', 'miss', 'novels', 'published', 'enjoyable', 'women', 'sad', 'writer', 'pages', 'lives', 'lovely', 'ireland', 'death', 'fans', 'wrote', 'relationships', 'seemed', 'sorry']",A FEW OF THE GIRLS,200,"['Hardcover', '$9.98', '98', 'Used', 'from', '$1.02', '19', 'New', 'from', '$5.52', '2', 'Collectible', 'from', '$18.95', 'Paperback', '$14.57', '86', 'Used', 'from', '$1.75', '52', 'New', 'from', '$4.74', '1', 'Collectible', 'from', '$1.25', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$14.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-20,4.1 out of 5 s,http://www.amazon.com/Few-Girls-Stories-Maeve-Binchy/dp/1101947411?tag=NYTBS-20,2,9.98,4.1,,0
Commissario Guido Brunetti is asked to investigate the “accidental” near-drowning of a girl 15 years ago  the 25th novel in the series.,"['leon', 'donna', 'venice', 'ending', 'crime', 'venetian', 'city', 'young', 'italian', 'food', 'mysteries', 'usual', 'justice', 'paola', 'satisfying', 'novels', 'enjoyable', 'detective', 'accident', 'police']",THE WATERS OF ETERNAL YOUTH,607,"['Hardcover', '$10.11', '128', 'Used', 'from', '$1.01', '60', 'New', 'from', '$4.44', '13', 'Collectible', 'from', '$7.50', 'Paperback', '$10.87', '62', 'Used', 'from', '$1.02', '62', 'New', 'from', '$3.91', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.60', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-27,4.6 out of 5 s,http://www.amazon.com/Waters-Eternal-Commissario-Brunetti-Mystery/dp/0802124801?tag=NYTBS-20,1,10.11,4.6,,0
The 16th Joe Pickett novel features Nate Romanowski and a search for a domestic terror cell.,"['nate', 'wyoming', 'novels', 'action', 'romanowski', 'desert', 'warden', 'usual', 'red', 'adventure', 'government', 'picket', 'exciting', 'page', 'governor', 'terrorists', 'authors', 'terrorist', 'sheridan', 'grizzly']",OFF THE GRID,1382,"['Hardcover', '$14.97', '180', 'Used', 'from', '$1.95', '41', 'New', 'from', '$6.74', '23', 'Collectible', 'from', '$6.31', 'Paperback', '$8.49', '80', 'Used', 'from', '$2.03', '60', 'New', 'from', '$6.50', '1', 'Collectible', 'from', '$9.69', 'Audiobook', '$0.00', 'Free', 'with', 'your', 'Audible', 'trial', 'Kindle', '$9.99', 'Read', 'with', 'Our', 'Free', 'App']",2016-03-27,4.6 out of 5,http://www.amazon.com/Off-Grid-Joe-Pickett-Novel/dp/0399176608?tag=NYTBS-20,0,14.97,4.6,,0
